GO_Term,Mean_Predicted_Probability
GO:0003674,0.9512531
GO:0005488,0.91595966
GO:0005515,0.8939313
GO:0003824,0.7634359
GO:0097159,0.62077594
GO:1901363,0.6181837
GO:0003676,0.5653021
GO:0016740,0.53277457
GO:0016787,0.49235994
GO:0140096,0.4559215
GO:0003677,0.4377428
GO:0042802,0.40091258
GO:0005215,0.39925826
GO:0043167,0.39570573
GO:0022857,0.38310182
GO:0003723,0.35022762
GO:0019899,0.34286347
GO:0043565,0.33594483
GO:0140110,0.325615
GO:0016772,0.3149376
GO:0098772,0.3120265
GO:0016491,0.30922067
GO:0043169,0.28880584
GO:0003690,0.28806275
GO:0003700,0.2707046
GO:0016788,0.27011865
GO:1990837,0.2681949
GO:0036094,0.265413
GO:0046872,0.2637353
GO:0015075,0.263648
GO:0015318,0.26215878
GO:0016301,0.261864
GO:0005102,0.24807529
GO:0060089,0.24651141
GO:0044877,0.2450864
GO:0016773,0.24458128
GO:0043168,0.24260095
GO:0038023,0.24096547
GO:0001067,0.23639385
GO:0000976,0.23337132
GO:0008324,0.23092987
GO:0030234,0.22852798
GO:0140677,0.22226912
GO:0140640,0.21324374
GO:0097367,0.20976056
GO:0004672,0.20248163
GO:0000166,0.1962602
GO:0004888,0.19589368
GO:1901265,0.19350697
GO:0046983,0.193201
